fold,accuracy,precision,recall,f1,mcc
1,97.48,95.07,92.17,93.60,92.05
2,97.74,93.97,94.78,94.37,92.96
3,98.17,93.72,97.39,95.52,94.40
4,97.74,96.36,92.17,94.22,92.85
5,96.87,90.76,93.91,92.31,90.36
6,97.65,95.11,93.04,94.07,92.61
7,97.91,94.78,94.78,94.78,93.48
8,97.22,92.67,93.48,93.07,91.33
9,98.96,97.81,96.96,97.38,96.73
10,96.09,90.04,90.43,90.24,87.79
Mean±Std,97.58±0.73,94.03±2.26,93.91±2.05,93.96±1.80,92.46±2.26
