Class,0-250ms,250-500ms,500-750ms,750-1025ms,Peak time (ms)
Seizure (E),0.020,0.025,0.020,0.020,685
D-interictal,0.113,0.080,0.110,0.060,726
C-interictal,0.203,0.220,0.219,0.266,0
Eyes-closed (B),0.015,0.019,0.000,0.009,109
Eyes-open (A),0.008,0.005,0.010,0.018,962
