fold,accuracy,precision,recall,f1,mcc
1,92.70,92.72,92.70,92.69,88.60
2,94.17,94.20,94.17,94.17,90.93
3,93.30,93.31,93.30,93.30,89.55
4,93.13,93.13,93.13,93.13,89.27
5,92.96,92.97,92.96,92.96,88.98
6,92.17,92.24,92.17,92.18,87.81
7,94.17,94.18,94.17,94.18,90.91
8,95.48,95.51,95.48,95.49,92.93
9,90.78,90.82,90.78,90.79,85.58
10,92.09,92.10,92.09,92.08,87.64
Mean±Std,93.10±1.24,93.12±1.24,93.10±1.24,93.10±1.24,89.22±1.95
